,Ano,cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas
163,2019,Outras atividades de serviços,18894.0,14704.0,4190.0,20079.0,74172.0,93066.0
164,2019,tal,947311.0,726527.0,220784.0,656372.0,3736529.0,4683840.0
165,2019,Organismos internacionais e outras instituições extraterritoriais,,,,1.0,,
166,2020,"Agricultura, pecuária, produção florestal, pesca e aquicultura",6967.0,5946.0,1021.0,4420.0,35073.0,42040.0
167,2020,Indústrias extrativas,1326.0,950.0,376.0,1261.0,9563.0,10889.0
168,2020,Indústrias de transformação,52262.0,40940.0,11322.0,44900.0,346463.0,398725.0
169,2020,Eletricidade e gás,1288.0,1215.0,73.0,188.0,4791.0,6079.0
170,2020,"Água, esgoto, atividades de gestão de resíduos e descontaminação",2043.0,1585.0,458.0,1339.0,10079.0,12122.0
171,2020,Construção,55908.0,45230.0,10678.0,38123.0,232730.0,288638.0
172,2020,Comércio; reparação de veículos automotores e motocicletas,288012.0,226026.0,61986.0,248943.0,1540421.0,1828433.0
173,2020,"Transporte, armazenagem e correio",36589.0,28035.0,8554.0,32382.0,192450.0,229039.0
174,2020,Alojamento e alimentação,45255.0,36863.0,8392.0,50236.0,239959.0,285214.0
175,2020,Informação e comunicação,36689.0,30165.0,6524.0,24295.0,132534.0,169223.0
176,2020,"Atividades financeiras, de seguros e serviços relacionados",25560.0,22048.0,3512.0,12021.0,120356.0,145916.0
177,2020,Atividades imobiliárias,21668.0,18472.0,3196.0,9880.0,121783.0,143451.0
178,2020,"Atividades profissionais, científicas e técnicas",85043.0,72301.0,12742.0,49717.0,328476.0,413519.0
179,2020,Atividades administrativas e serviços complementares,65190.0,52540.0,12650.0,50759.0,269391.0,334581.0
180,2020,"Administração pública, defesa e seguridade social",9.0,9.0,,17.0,167.0,176.0
181,2020,Educação,21071.0,17445.0,3626.0,15919.0,100440.0,121511.0
182,2020,Saúde humana e serviços sociais,49855.0,44855.0,5000.0,22873.0,242107.0,291962.0
183,2020,"Artes, cultura, esporte e recreação",10529.0,8424.0,2105.0,10826.0,46139.0,56668.0
184,2020,Outras atividades de serviços,21140.0,16602.0,4538.0,16340.0,76501.0,97641.0
185,2020,tal,826404.0,669651.0,156753.0,634439.0,4049423.0,4875827.0
