,data_base,modalidade,porte,valor_deflacionado
175,2012-08-01,Rural e agroindustrial,Mais de 1 a 2 salários mínimos,5193874610.153263
176,2012-08-01,Rural e agroindustrial,Mais de 2 a 3 salários mínimos,5130837316.518921
177,2012-08-01,Rural e agroindustrial,Mais de 3 a 5 salários mínimos,8803139573.432362
178,2012-08-01,Rural e agroindustrial,Mais de 5 a 10 salários mínimos,12800589308.556208
179,2012-08-01,Rural e agroindustrial,Sem rendimento,14823146648.748098
180,2012-08-01,Veículos,Acima de 20 salários mínimos,26929709591.392536
181,2012-08-01,Veículos,Até 1 salário mínimo,20100701338.365154
182,2012-08-01,Veículos,Indisponível,3047532062.469324
183,2012-08-01,Veículos,Mais de 10 a 20 salários mínimos,19791451134.496338
184,2012-08-01,Veículos,Mais de 1 a 2 salários mínimos,26227589174.4144
185,2012-08-01,Veículos,Mais de 2 a 3 salários mínimos,20028744820.717487
186,2012-08-01,Veículos,Mais de 3 a 5 salários mínimos,32340436348.764732
187,2012-08-01,Veículos,Mais de 5 a 10 salários mínimos,37391793233.85502
188,2012-08-01,Veículos,Sem rendimento,37339284097.14145
189,2012-09-01,Cartão de crédito,Acima de 20 salários mínimos,257463170.7610879
190,2012-09-01,Cartão de crédito,Até 1 salário mínimo,70751882.49766153
191,2012-09-01,Cartão de crédito,Indisponível,5811.723229575973
192,2012-09-01,Cartão de crédito,Mais de 10 a 20 salários mínimos,359957151.5987775
193,2012-09-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,231536912.72877645
194,2012-09-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,214310928.21593192
195,2012-09-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,313372689.4144265
196,2012-09-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,482430399.9538258
197,2012-09-01,Cartão de crédito,Sem rendimento,272482931.1943445
198,2012-09-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,23326878239.43216
199,2012-09-01,Empréstimo com consignação em folha,Até 1 salário mínimo,22486051046.90768
200,2012-09-01,Empréstimo com consignação em folha,Indisponível,308975455.85813713
201,2012-09-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,26533057888.169807
202,2012-09-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,26595477462.650494
203,2012-09-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,21228005532.95879
204,2012-09-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,35073365098.23529
205,2012-09-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,42270751273.66598
206,2012-09-01,Empréstimo com consignação em folha,Sem rendimento,21347213131.987087
207,2012-09-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,17575321087.798275
208,2012-09-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,3575718105.571155
209,2012-09-01,Empréstimo sem consignação em folha,Indisponível,481437.3795113951
210,2012-09-01,Empréstimo sem consignação em folha,Mais de 10 a 20 salários mínimos,14605285256.17661
211,2012-09-01,Empréstimo sem consignação em folha,Mais de 1 a 2 salários mínimos,4782218062.381722
212,2012-09-01,Empréstimo sem consignação em folha,Mais de 2 a 3 salários mínimos,4891601195.014286
213,2012-09-01,Empréstimo sem consignação em folha,Mais de 3 a 5 salários mínimos,8933485096.408117
214,2012-09-01,Empréstimo sem consignação em folha,Mais de 5 a 10 salários mínimos,16376299439.498013
215,2012-09-01,Empréstimo sem consignação em folha,Sem rendimento,4178010447.5114765
216,2012-09-01,Habitacional,Acima de 20 salários mínimos,73934941029.5701
217,2012-09-01,Habitacional,Até 1 salário mínimo,9904884166.091358
218,2012-09-01,Habitacional,Indisponível,1150051226.8588643
219,2012-09-01,Habitacional,Mais de 10 a 20 salários mínimos,74752893356.28557
220,2012-09-01,Habitacional,Mais de 1 a 2 salários mínimos,31562498400.58316
221,2012-09-01,Habitacional,Mais de 2 a 3 salários mínimos,51417609756.22293
222,2012-09-01,Habitacional,Mais de 3 a 5 salários mínimos,62834720700.72795
223,2012-09-01,Habitacional,Mais de 5 a 10 salários mínimos,71353357520.34207
224,2012-09-01,Habitacional,Sem rendimento,1805037190.7917771
225,2012-09-01,Outros créditos,Acima de 20 salários mínimos,14062242327.492533
226,2012-09-01,Outros créditos,Até 1 salário mínimo,1746917621.144414
227,2012-09-01,Outros créditos,Indisponível,21433581.949670278
228,2012-09-01,Outros créditos,Mais de 10 a 20 salários mínimos,8345657940.092997
229,2012-09-01,Outros créditos,Mais de 1 a 2 salários mínimos,3858999586.977628
230,2012-09-01,Outros créditos,Mais de 2 a 3 salários mínimos,4368672205.657955
231,2012-09-01,Outros créditos,Mais de 3 a 5 salários mínimos,6183826428.18297
232,2012-09-01,Outros créditos,Mais de 5 a 10 salários mínimos,9027201754.986977
233,2012-09-01,Outros créditos,Sem rendimento,2170420814.197284
234,2012-09-01,Rural e agroindustrial,Acima de 20 salários mínimos,45320711256.7368
235,2012-09-01,Rural e agroindustrial,Até 1 salário mínimo,3579992370.1931653
236,2012-09-01,Rural e agroindustrial,Indisponível,1138756936.2594368
237,2012-09-01,Rural e agroindustrial,Mais de 10 a 20 salários mínimos,11249264119.832663
238,2012-09-01,Rural e agroindustrial,Mais de 1 a 2 salários mínimos,5300321756.841835
239,2012-09-01,Rural e agroindustrial,Mais de 2 a 3 salários mínimos,5325556484.129955
240,2012-09-01,Rural e agroindustrial,Mais de 3 a 5 salários mínimos,8998435872.6078
241,2012-09-01,Rural e agroindustrial,Mais de 5 a 10 salários mínimos,13214684992.502285
242,2012-09-01,Rural e agroindustrial,Sem rendimento,13381449615.732311
243,2012-09-01,Veículos,Acima de 20 salários mínimos,27448331429.04924
244,2012-09-01,Veículos,Até 1 salário mínimo,5564981766.816157
245,2012-09-01,Veículos,Indisponível,2826030919.800425
246,2012-09-01,Veículos,Mais de 10 a 20 salários mínimos,20977625871.9326
247,2012-09-01,Veículos,Mais de 1 a 2 salários mínimos,23178476302.505127
248,2012-09-01,Veículos,Mais de 2 a 3 salários mínimos,28867169801.23627
249,2012-09-01,Veículos,Mais de 3 a 5 salários mínimos,38906100869.2472
250,2012-09-01,Veículos,Mais de 5 a 10 salários mínimos,41142230479.227905
251,2012-09-01,Veículos,Sem rendimento,29320878003.843307
252,2012-10-01,Cartão de crédito,Acima de 20 salários mínimos,257067136.07635996
253,2012-10-01,Cartão de crédito,Até 1 salário mínimo,70039140.65719336
254,2012-10-01,Cartão de crédito,Indisponível,3345.8595530087255
255,2012-10-01,Cartão de crédito,Mais de 10 a 20 salários mínimos,361476751.10358036
256,2012-10-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,231008900.5616303
257,2012-10-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,217327997.69428855
258,2012-10-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,315576432.1119915
259,2012-10-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,485883931.6780036
260,2012-10-01,Cartão de crédito,Sem rendimento,284979200.32230365
261,2012-10-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,22540438832.428528
262,2012-10-01,Empréstimo com consignação em folha,Até 1 salário mínimo,20853555388.5106
263,2012-10-01,Empréstimo com consignação em folha,Indisponível,278215141.1427393
264,2012-10-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,29722323994.20309
265,2012-10-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,26171486115.369144
266,2012-10-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,20989647090.97761
267,2012-10-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,35244554306.127495
268,2012-10-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,44615898071.5097
269,2012-10-01,Empréstimo com consignação em folha,Sem rendimento,20112612740.607693
270,2012-10-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,17501096388.08623
271,2012-10-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,3399704644.875509
272,2012-10-01,Empréstimo sem consignação em folha,Indisponível,444753.2051870013
273,2012-10-01,Empréstimo sem consignação em folha,Mais de 10 a 20 salários mínimos,14382877309.008394
274,2012-10-01,Empréstimo sem consignação em folha,Mais de 1 a 2 salários mínimos,4373292038.562621
275,2012-10-01,Empréstimo sem consignação em folha,Mais de 2 a 3 salários mínimos,4545035672.929078
276,2012-10-01,Empréstimo sem consignação em folha,Mais de 3 a 5 salários mínimos,8783950106.047026
277,2012-10-01,Empréstimo sem consignação em folha,Mais de 5 a 10 salários mínimos,16153010979.800901
278,2012-10-01,Empréstimo sem consignação em folha,Sem rendimento,3476094434.2522197
279,2012-10-01,Habitacional,Acima de 20 salários mínimos,69914159681.83835
280,2012-10-01,Habitacional,Até 1 salário mínimo,12932462584.629946
281,2012-10-01,Habitacional,Indisponível,1116934117.16662
282,2012-10-01,Habitacional,Mais de 10 a 20 salários mínimos,75229724831.51715
283,2012-10-01,Habitacional,Mais de 1 a 2 salários mínimos,35842693351.92476
284,2012-10-01,Habitacional,Mais de 2 a 3 salários mínimos,54459808973.10768
285,2012-10-01,Habitacional,Mais de 3 a 5 salários mínimos,63442697710.069824
286,2012-10-01,Habitacional,Mais de 5 a 10 salários mínimos,72788207903.05511
287,2012-10-01,Habitacional,Sem rendimento,1734630300.6504867
288,2012-10-01,Outros créditos,Acima de 20 salários mínimos,14329348601.023773
289,2012-10-01,Outros créditos,Até 1 salário mínimo,2545258972.359762
290,2012-10-01,Outros créditos,Indisponível,19845230.809281383
291,2012-10-01,Outros créditos,Mais de 10 a 20 salários mínimos,9075708271.829464
292,2012-10-01,Outros créditos,Mais de 1 a 2 salários mínimos,4288906685.626837
293,2012-10-01,Outros créditos,Mais de 2 a 3 salários mínimos,4791366232.780811
294,2012-10-01,Outros créditos,Mais de 3 a 5 salários mínimos,6576256982.96219
295,2012-10-01,Outros créditos,Mais de 5 a 10 salários mínimos,9540887250.82582
296,2012-10-01,Outros créditos,Sem rendimento,2035015897.9319115
