,data_base,modalidade,numero_de_operacoes
492,2018-04,Empréstimo sem consignação em folha,22541482
493,2018-04,Habitacional,5855092
494,2018-04,Outros créditos,40650790
495,2018-04,Rural e agroindustrial,3531614
496,2018-04,Veículos,9535897
497,2018-05,Cartão de crédito,187817990
498,2018-05,Empréstimo com consignação em folha,51976795
499,2018-05,Empréstimo sem consignação em folha,22981715
500,2018-05,Habitacional,5881844
501,2018-05,Outros créditos,40449921
502,2018-05,Rural e agroindustrial,3613220
503,2018-05,Veículos,9517595
504,2018-06,Cartão de crédito,189189071
505,2018-06,Empréstimo com consignação em folha,51757031
506,2018-06,Empréstimo sem consignação em folha,23338917
507,2018-06,Habitacional,5912857
508,2018-06,Outros créditos,40142069
509,2018-06,Rural e agroindustrial,3597487
510,2018-06,Veículos,9518812
511,2018-07,Cartão de crédito,190337912
512,2018-07,Empréstimo com consignação em folha,51638749
513,2018-07,Empréstimo sem consignação em folha,23434023
514,2018-07,Habitacional,5937170
515,2018-07,Outros créditos,40274665
516,2018-07,Rural e agroindustrial,3524905
517,2018-07,Veículos,9504118
518,2018-08,Cartão de crédito,191781478
519,2018-08,Empréstimo com consignação em folha,51430866
520,2018-08,Empréstimo sem consignação em folha,24079541
521,2018-08,Habitacional,5967763
522,2018-08,Outros créditos,40310357
523,2018-08,Rural e agroindustrial,3570540
524,2018-08,Veículos,9518287
525,2018-09,Cartão de crédito,190751277
526,2018-09,Empréstimo com consignação em folha,51256732
527,2018-09,Empréstimo sem consignação em folha,24404704
528,2018-09,Habitacional,5998049
529,2018-09,Outros créditos,39530911
530,2018-09,Rural e agroindustrial,3621353
531,2018-09,Veículos,9530963
532,2018-10,Cartão de crédito,193709252
533,2018-10,Empréstimo com consignação em folha,51180562
534,2018-10,Empréstimo sem consignação em folha,25274570
535,2018-10,Habitacional,6021479
536,2018-10,Outros créditos,40311461
537,2018-10,Rural e agroindustrial,3624379
538,2018-10,Veículos,9546396
539,2018-11,Cartão de crédito,199959834
540,2018-11,Empréstimo com consignação em folha,50961427
541,2018-11,Empréstimo sem consignação em folha,25557383
542,2018-11,Habitacional,6340299
543,2018-11,Outros créditos,40288394
544,2018-11,Rural e agroindustrial,3641852
545,2018-11,Veículos,9584422
546,2018-12,Cartão de crédito,201510645
547,2018-12,Empréstimo com consignação em folha,50674217
548,2018-12,Empréstimo sem consignação em folha,24106476
549,2018-12,Habitacional,6350004
550,2018-12,Outros créditos,39643155
551,2018-12,Rural e agroindustrial,3671642
552,2018-12,Veículos,9589877
553,2019-01,Cartão de crédito,202633818
554,2019-01,Empréstimo com consignação em folha,50981212
555,2019-01,Empréstimo sem consignação em folha,25228179
556,2019-01,Habitacional,6423054
557,2019-01,Outros créditos,41981558
558,2019-01,Rural e agroindustrial,3695757
559,2019-01,Veículos,9637554
560,2019-02,Cartão de crédito,203931333
561,2019-02,Empréstimo com consignação em folha,51984109
562,2019-02,Empréstimo sem consignação em folha,26127443
563,2019-02,Habitacional,6447203
564,2019-02,Outros créditos,43041925
565,2019-02,Rural e agroindustrial,3686085
566,2019-02,Veículos,9702167
567,2019-03,Cartão de crédito,205292900
