,ano,cnae_secao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
238,2020,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,8353.982474319815,0.01006472384518053
247,2021,"Administração pública, defesa e seguridade social",ACRE,830026.0,344692979.2881215,415.2797373674096
248,2021,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,330737.4449416519,0.3984663672483174
249,2021,Alojamento e alimentação,ACRE,830026.0,8839780.483500132,10.650004317334798
250,2021,"Artes, cultura, esporte e recreação",ACRE,830026.0,2062324.6242478944,2.4846506305198806
251,2021,Atividades administrativas e serviços complementares,ACRE,830026.0,7759643.4308482185,9.348675138909165
252,2021,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,3250230.4022799195,3.915817579545604
253,2021,Atividades imobiliárias,ACRE,830026.0,464429.6930004909,0.5595363193448047
254,2021,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,10921500.028784318,13.158021590630074
255,2021,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,57153920.03099739,68.857987618457
256,2021,Construção,ACRE,830026.0,27477797.561355036,33.10474317835229
257,2021,Educação,ACRE,830026.0,2624997.965574228,3.1625490834916357
258,2021,Eletricidade e gás,ACRE,830026.0,0.0,0.0
259,2021,Indústrias de transformação,ACRE,830026.0,3641902.991640168,4.387697483741675
260,2021,Indústrias extrativas,ACRE,830026.0,64699.53309150646,0.07794880291883202
261,2021,Informação e comunicação,ACRE,830026.0,1092282.3909569846,1.315961657775762
262,2021,Outras atividades de serviços,ACRE,830026.0,2318004.881608822,2.792689483954505
263,2021,Saúde humana e serviços sociais,ACRE,830026.0,3245946.6394384224,3.910656581165436
264,2021,Serviços domésticos,ACRE,830026.0,75459.35356811057,0.09091203597009079
265,2021,"Transporte, armazenagem e correio",ACRE,830026.0,2852435.7549616676,3.436561932953507
266,2021,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,136956.15884587783,0.16500225155100903
275,2022,"Administração pública, defesa e seguridade social",ACRE,830026.0,222908.9937263155,0.26855664006466723
276,2022,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,296646.21769651835,0.35739388609093975
277,2022,Alojamento e alimentação,ACRE,830026.0,12288144.607674116,14.80452974686831
278,2022,"Artes, cultura, esporte e recreação",ACRE,830026.0,1254534.9837281292,1.5114405858709596
279,2022,Atividades administrativas e serviços complementares,ACRE,830026.0,10660432.271033457,12.843491976195272
280,2022,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,2476598.101287687,2.9837596669112623
281,2022,Atividades imobiliárias,ACRE,830026.0,381535.3167395801,0.45966670530752063
282,2022,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,9054630.989116622,10.908852239708903
283,2022,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,79721143.91114408,96.04656228978861
284,2022,Construção,ACRE,830026.0,27661875.075685192,33.32651636898747
285,2022,Educação,ACRE,830026.0,2077919.0937138156,2.50343855941117
286,2022,Eletricidade e gás,ACRE,830026.0,143814.83380827575,0.17326545651374264
287,2022,Indústrias de transformação,ACRE,830026.0,9614786.18068521,11.583716872345214
288,2022,Indústrias extrativas,ACRE,830026.0,15424.355140750713,0.018582978293150712
289,2022,Informação e comunicação,ACRE,830026.0,1533196.7835644702,1.847167177370914
290,2022,Outras atividades de serviços,ACRE,830026.0,3604739.8606379204,4.342924029654397
291,2022,Saúde humana e serviços sociais,ACRE,830026.0,6597547.920776906,7.9486039241866
292,2022,Serviços domésticos,ACRE,830026.0,4891.058398670597,0.005892656854930565
293,2022,"Transporte, armazenagem e correio",ACRE,830026.0,7125417.142320687,8.584571016234054
294,2022,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,24422.223573309977,0.02942344405272844
302,2012,"Administração pública, defesa e seguridade social",ALAGOAS,3127511.0,32866.10715056718,0.010508710329257731
303,2012,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,3127511.0,33506740.33719408,10.713548357525866
304,2012,Alojamento e alimentação,ALAGOAS,3127511.0,15427928.30186992,4.932973313881204
305,2012,"Artes, cultura, esporte e recreação",ALAGOAS,3127511.0,2040583.8742791587,0.6524625730426395
306,2012,Atividades administrativas e serviços complementares,ALAGOAS,3127511.0,20035467.05406043,6.406201945911758
307,2012,"Atividades financeiras, de seguros e serviços relacionados",ALAGOAS,3127511.0,201183.88789204785,0.06432715596909103
308,2012,Atividades imobiliárias,ALAGOAS,3127511.0,2392783.6865565428,0.7650760258098349
309,2012,"Atividades profissionais, científicas e técnicas",ALAGOAS,3127511.0,5405490.558806045,1.7283682004015477
310,2012,Comércio; reparação de veículos automotores e motocicletas,ALAGOAS,3127511.0,230331172.28133363,73.64679845453257
311,2012,Construção,ALAGOAS,3127511.0,45867675.48754035,14.665871834676313
312,2012,Educação,ALAGOAS,3127511.0,4026321.2943449393,1.2873883718858028
313,2012,Eletricidade e gás,ALAGOAS,3127511.0,1521357.9684737332,0.4864436826836846
314,2012,Indústrias de transformação,ALAGOAS,3127511.0,204463057.092645,65.37564762926333
315,2012,Indústrias extrativas,ALAGOAS,3127511.0,6639446.372396665,2.122917032872679
316,2012,Informação e comunicação,ALAGOAS,3127511.0,2106850.110229601,0.673650743428113
317,2012,Outras atividades de serviços,ALAGOAS,3127511.0,5031299.348512074,1.608723150298136
318,2012,Saúde humana e serviços sociais,ALAGOAS,3127511.0,9824150.251193045,3.1412040600954065
319,2012,"Transporte, armazenagem e correio",ALAGOAS,3127511.0,18694684.54241256,5.977496015973265
320,2012,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ALAGOAS,3127511.0,218481.61678352865,0.06985798508255563
328,2013,"Administração pública, defesa e seguridade social",ALAGOAS,3127511.0,149575.4419353442,0.04782571250279989
329,2013,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,3127511.0,8252084.055556537,2.6385467726753116
330,2013,Alojamento e alimentação,ALAGOAS,3127511.0,13777639.59274629,4.405304919070241
331,2013,"Artes, cultura, esporte e recreação",ALAGOAS,3127511.0,2041753.297746873,0.652836488104078
332,2013,Atividades administrativas e serviços complementares,ALAGOAS,3127511.0,22025473.093702056,7.042492606325623
333,2013,"Atividades financeiras, de seguros e serviços relacionados",ALAGOAS,3127511.0,1434908.8711515465,0.45880218203918277
334,2013,Atividades imobiliárias,ALAGOAS,3127511.0,297340.2571278793,0.09507248963405063
335,2013,"Atividades profissionais, científicas e técnicas",ALAGOAS,3127511.0,8274721.122083493,2.645784818049718
336,2013,Comércio; reparação de veículos automotores e motocicletas,ALAGOAS,3127511.0,276721861.77282524,88.47990039773649
337,2013,Construção,ALAGOAS,3127511.0,63502896.315382235,20.304611659361786
338,2013,Educação,ALAGOAS,3127511.0,6287063.710579188,2.01024511523035
339,2013,Eletricidade e gás,ALAGOAS,3127511.0,1292986.4187179594,0.41342345997119095
340,2013,Indústrias de transformação,ALAGOAS,3127511.0,405357483.8902911,129.6102504164785
341,2013,Indústrias extrativas,ALAGOAS,3127511.0,0.0,0.0
342,2013,Informação e comunicação,ALAGOAS,3127511.0,3770853.548238537,1.2057043278947817
343,2013,Outras atividades de serviços,ALAGOAS,3127511.0,9538569.571090505,3.049891613839409
344,2013,Saúde humana e serviços sociais,ALAGOAS,3127511.0,6458876.716977065,2.0651811350869957
345,2013,"Transporte, armazenagem e correio",ALAGOAS,3127511.0,41776355.0173967,13.357700426120548
346,2013,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ALAGOAS,3127511.0,13738529.850228762,4.392799849538103
354,2014,"Administração pública, defesa e seguridade social",ALAGOAS,3127511.0,23624.263047447315,0.0075536946304736625
355,2014,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,3127511.0,16614263.715851197,5.312295853108493
356,2014,Alojamento e alimentação,ALAGOAS,3127511.0,23092030.012227297,7.383516800493203
357,2014,"Artes, cultura, esporte e recreação",ALAGOAS,3127511.0,1950058.8470301596,0.6235178220093102
358,2014,Atividades administrativas e serviços complementares,ALAGOAS,3127511.0,24290941.466486547,7.766860441573682
359,2014,"Atividades financeiras, de seguros e serviços relacionados",ALAGOAS,3127511.0,1227011.0875554006,0.3923283043785939
360,2014,Atividades imobiliárias,ALAGOAS,3127511.0,2428015.418979502,0.7763411284499085
361,2014,"Atividades profissionais, científicas e técnicas",ALAGOAS,3127511.0,7912557.750350213,2.5299855860939298
362,2014,Comércio; reparação de veículos automotores e motocicletas,ALAGOAS,3127511.0,400884634.931958,128.18008791398591
363,2014,Construção,ALAGOAS,3127511.0,117811170.54166828,37.669306532149136
364,2014,Educação,ALAGOAS,3127511.0,3868339.2530712197,1.2368747074178859
365,2014,Eletricidade e gás,ALAGOAS,3127511.0,0.0,0.0
366,2014,Indústrias de transformação,ALAGOAS,3127511.0,330867316.2029335,105.79253476740242
367,2014,Indústrias extrativas,ALAGOAS,3127511.0,522310.39813293016,0.16700513543611203
368,2014,Informação e comunicação,ALAGOAS,3127511.0,3448723.048949911,1.1027053298773084
369,2014,Outras atividades de serviços,ALAGOAS,3127511.0,9295662.757144853,2.9722238409856443
370,2014,Saúde humana e serviços sociais,ALAGOAS,3127511.0,4618397.956050522,1.47670078731954
371,2014,"Transporte, armazenagem e correio",ALAGOAS,3127511.0,65368460.19640756,20.901112800692804
372,2014,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ALAGOAS,3127511.0,22715111.55657322,7.262999732558325
380,2015,"Administração pública, defesa e seguridade social",ALAGOAS,3127511.0,5762906.861677127,1.8426495899381734
381,2015,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,3127511.0,16564932.469097212,5.296522528329144
382,2015,Alojamento e alimentação,ALAGOAS,3127511.0,23890694.712690435,7.638884311738771
383,2015,"Artes, cultura, esporte e recreação",ALAGOAS,3127511.0,5490480.692705265,1.7555432075875241
384,2015,Atividades administrativas e serviços complementares,ALAGOAS,3127511.0,34194691.427546985,10.933515958072405
385,2015,"Atividades financeiras, de seguros e serviços relacionados",ALAGOAS,3127511.0,971209.1795061899,0.310537414418747
386,2015,Atividades imobiliárias,ALAGOAS,3127511.0,5540262.325164661,1.7714605400795267
387,2015,"Atividades profissionais, científicas e técnicas",ALAGOAS,3127511.0,29132490.272027653,9.314912168822957
388,2015,Comércio; reparação de veículos automotores e motocicletas,ALAGOAS,3127511.0,790797302.6011616,252.8519652212771
389,2015,Construção,ALAGOAS,3127511.0,84034074.28275406,26.869313739505333
390,2015,Educação,ALAGOAS,3127511.0,5955769.381817132,1.9043160461520783
391,2015,Eletricidade e gás,ALAGOAS,3127511.0,0.0,0.0
392,2015,Indústrias de transformação,ALAGOAS,3127511.0,219395939.1848352,70.15033334329925
393,2015,Indústrias extrativas,ALAGOAS,3127511.0,4788869.092982862,1.5312077537002626
394,2015,Informação e comunicação,ALAGOAS,3127511.0,9504363.326792993,3.0389544039311107
395,2015,Outras atividades de serviços,ALAGOAS,3127511.0,8846278.901836442,2.8285364629689367
396,2015,Saúde humana e serviços sociais,ALAGOAS,3127511.0,15919545.432208352,5.0901644893362015
397,2015,"Transporte, armazenagem e correio",ALAGOAS,3127511.0,57152596.8431896,18.274147346944453
398,2015,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ALAGOAS,3127511.0,10894538.743871856,3.4834533735842514
407,2016,"Administração pública, defesa e seguridade social",ALAGOAS,3127511.0,0.0,0.0
408,2016,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,3127511.0,92786685.54477298,29.667900622818905
409,2016,Alojamento e alimentação,ALAGOAS,3127511.0,24858647.233283963,7.948380432006142
410,2016,"Artes, cultura, esporte e recreação",ALAGOAS,3127511.0,2273846.146600396,0.7270465704518372
411,2016,Atividades administrativas e serviços complementares,ALAGOAS,3127511.0,36150250.82944169,11.558792544436034
