Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
250380 CALDAS BRANDAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250390 CAMALAU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250400 CAMPINA GRANDE;55865625.9;54724572.51;52734048.87;55348892.61;56953311.32;57008586.15;58686363.51;57033742.37;81134851.63;75311297.87;604801292.7;4359.39;2438.02;2301.19;4908.94;4536.42;5673.06;2736.42;7738.39;5949.79;2392.6;43034.22;28741595.79;28740529.82;27885006.21;28638234.77;29803736.52;30127907.24;31609792.38;32951799.74;52478770.35;39315236.04;330292608.9;25361253.09;24783863.72;23491840.81;25479370.74;25890790.24;26343148.51;26759813.28;24008720.45;28406996.13;35754733.41;266280530.4;1758417.63;1197740.95;1354900.66;1226378.16;1254248.14;531857.34;314021.43;65483.79;243135.36;238935.82;8185119.28;51894;50481;47726;47111;47090;48227;46314;38888;46851;51953;476535;16;15;16;25;26;23;15;15;22;5;178;16;15;16;25;26;23;15;15;22;5;178;33404;31552;29880;29542;29439;30084;27692;22812;28691;27873;290969;18260;18720;17615;17330;17397;17972;18478;16025;18028;23965;183790;214;194;215;214;228;148;129;36;110;110;1598;2873;2538;2310;2699;2565;2363;2224;2266;3344;2630;25812;5.65;5.15;4.95;5.85;5.58;5.05;4.98;6.1;7.41;5.24;5.58;297686;284051;280599;288117;290721;297561;277038;244679;288849;292676;2841977
250403 CAPIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250407 CARAUBAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250410 CARRAPATEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250415 CASSERENGUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250420 CATINGUEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250430 CATOLE DO ROCHA;719211.72;1024757.66;416784.19;455858.79;911401.88;730524.97;863893.93;595162.58;433429.24;742016.45;6893041.41;;;;;;;;;;;;516858.59;568278.97;240602.38;240039.41;326208.22;276164.64;282673.3;226228.45;154770.43;244283.53;3076107.92;202353.13;456478.69;176181.81;215819.38;585193.66;454360.33;581220.63;368934.13;278658.81;497732.92;3816933.49;;;;;;;;;;;;1679;2257;888;934;1790;1545;1916;1407;1019;1682;15117;;;;;;;;;;;;;;;;;;;;;;;1321;1427;570;548;740;719;876;703;476;739;8119;358;830;318;386;1050;826;1040;704;543;943;6998;;;;;;;;;;;;39;43;49;53;58;47;71;58;29;61;508;2.32;1.91;5.52;5.67;3.24;3.04;3.71;4.12;2.85;3.63;3.36;3961;5114;2500;2691;4406;4169;5016;2964;1924;3267;36012
250435 CATURITE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250440 CONCEICAO;294191.74;266055.34;181666.38;170628.75;180138.05;168219.24;154896.1;85995.9;92189.9;68315.79;1662297.19;;;;;;;;;;;;251089.76;191064.19;157481.93;159567.64;180138.05;168219.24;154896.1;85995.9;92189.9;68315.79;1508958.5;43101.98;74991.15;24184.45;11061.11;;;;;;;153338.69;;;;;;;;;;;;729;651;462;427;476;416;375;223;239;180;4178;;;;;;;;;;;;;;;;;;;;;;;647;504;414;406;476;416;375;223;239;180;3880;82;147;48;21;;;;;;;298;;;;;;;;;;;;2;;1;;;;;;;;3;0.27;;0.22;;;;;;;;0.07;1781;1563;1309;1244;1328;1089;954;537;658;615;11078
250450 CONDADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250460 CONDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250470 CONGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250480 COREMAS;96520.55;169483.22;131050.62;143272.3;151362.38;97860.61;160502.4;133989.45;148200.18;167300.93;1399542.64;;;;;;;;;;;;63482.72;102681.02;82243.73;81771.23;89939.84;70829.1;116129.82;101864.59;110546.87;129056.42;948545.34;33037.83;66802.2;48806.89;61501.07;61422.54;27031.51;44372.58;32124.86;37653.31;38244.51;450997.3;;;;;;;;;;;;303;427;383;431;440;268;407;350;353;431;3793;;;;;;;;;;;;;;;;;;;;;;;246;316;301;323;327;212;319;286;284;356;2970;57;111;82;108;113;56;88;64;69;75;823;;;;;;;;;;;;;4;9;9;11;9;12;15;12;12;93;;0.94;2.35;2.09;2.5;3.36;2.95;4.29;3.4;2.78;2.45;662;1034;808;924;922;745;1161;1020;852;1409;9537
250485 COXIXOLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250490 CRUZ DO ESPIRITO SANTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250500 CUBATI;97170.53;74134.15;7098.92;6046.5;40002.59;38803.5;19281.48;;15414.98;20758.95;318711.6;;;;;;;;;;;;97170.53;74134.15;7098.92;6046.5;40002.59;38803.5;19281.48;;15414.98;20758.95;318711.6;;;;;;;;;;;;;;;;;;;;;;;316;228;55;105;151;176;65;;50;47;1193;;;;;;;;;;;;;;;;;;;;;;;316;228;55;105;151;176;65;;50;47;1193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;895;487;197;307;330;457;149;;49;94;2965
250510 CUITE;451642.52;419808.6;326876.85;245644.15;309018.33;265593.88;234721.61;160368.27;228349.46;388560.37;3030584.04;;;;;;;;;;;;399946.32;318872.6;260662.31;245644.15;309018.33;265593.88;234721.61;160368.27;212802.11;219945.25;2627574.83;51696.2;100936;66214.54;;;;;;15547.35;168615.12;403009.21;;;;;;;;;;;;1255;1156;799;689;712;601;519;301;410;741;7183;;;;;;;;;;;;;;;;;;;;;;;1159;949;673;689;712;601;519;301;379;453;6435;96;207;126;;;;;;31;288;748;;;;;;;;;;;;22;28;32;30;31;18;41;31;37;28;298;1.75;2.42;4.01;4.35;4.35;3;7.9;10.3;9.02;3.78;4.15;4084;3745;2456;2549;2726;2348;2272;1578;1739;2322;25819
250520 CUITEGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250523 CUITE DE MAMANGUAPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250527 CURRAL DE CIMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250530 CURRAL VELHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250535 DAMIAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250540 DESTERRO;2936.27;;;;;;;;;;2936.27;;;;;;;;;;;;2936.27;;;;;;;;;;2936.27;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;29
250550 VISTA SERRANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250560 DIAMANTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250570 DONA INES;71437.28;15781.41;;;;;;;;;87218.69;;;;;;;;;;;;65265.69;15781.41;;;;;;;;;81047.1;6171.59;;;;;;;;;;6171.59;;;;;;;;;;;;215;47;;;;;;;;;262;;;;;;;;;;;;;;;;;;;;;;;205;47;;;;;;;;;252;10;;;;;;;;;;10;;;;;;;;;;;;2;;;;;;;;;;2;0.93;;;;;;;;;;0.76;767;210;;;;;;;;;977
250580 DUAS ESTRADAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250590 EMAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250600 ESPERANCA;692319.5;699027.07;622670.06;396667.24;323015.67;391425.67;324891.08;157943.7;268342.33;203178.19;4079480.51;;114.36;;;;;;;;;114.36;489396.2;419383.61;316128;271841.9;323015.67;249926.83;242171.96;157943.7;268342.33;203178.19;2941328.39;202923.3;279529.1;306542.06;124825.34;;141498.84;82719.12;;;;1138037.76;;;;;;;;;;;;1721;1728;1428;976;801;838;733;328;444;390;9387;;1;;;;;;;;;1;;1;;;;;;;;;1;1345;1179;841;706;801;558;552;328;444;390;7144;376;548;587;270;;280;181;;;;2242;;;;;;;;;;;;24;31;17;40;54;48;42;34;45;56;391;1.39;1.79;1.19;4.1;6.74;5.73;5.73;10.37;10.14;14.36;4.17;5327;5294;3790;2908;2889;2836;2404;1455;1872;1959;30734
250610 FAGUNDES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250620 FREI MARTINHO;12161;10710.38;4268.19;224.91;;;;;;;27364.48;;;;;;;;;;;;12161;10710.38;4268.19;224.91;;;;;;;27364.48;;;;;;;;;;;;;;;;;;;;;;;26;30;12;1;;;;;;;69;;;;;;;;;;;;;;;;;;;;;;;26;30;12;1;;;;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;59;27;1;;;;;;;144
250625 GADO BRAVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250630 GUARABIRA;3542556.53;3702106.43;3226925.43;3560548.84;3493457.81;3677949;3459214.52;1870526.53;921635.16;2839524.87;30294445.12;;;;;;;;;114.36;;114.36;1910405.62;2029285.33;1778380.61;1639774.49;1763591.7;1642274.98;1515507.48;879415.75;460039.78;1751175.38;15369851.12;1632150.91;1672821.1;1448544.82;1920774.35;1729866.11;2035674.02;1943707.04;991110.78;461481.02;1088349.49;14924479.64;;;;;;;;;;;;5473;5545;5113;6022;5512;6211;5600;3231;1510;3597;47814;;;;;;;;;1;;1;;;;;;;;;1;;1;2709;2813;2584;2628;2663;2732;2379;1452;744;1953;22657;2764;2732;2529;3394;2849;3479;3221;1779;765;1644;25156;;;;;;;;;;;;263;295;246;187;248;255;272;181;88;301;2336;4.81;5.32;4.81;3.11;4.5;4.11;4.86;5.6;5.83;8.37;4.89;15529;16019;14295;16874;19174;20125;19024;10390;5485;16063;152978
250640 GURINHEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250650 GURJAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250660 IBIARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250670 IMACULADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250680 INGA;516116.18;555035.24;654633.27;656776.92;700735.8;787025.89;308135.1;;;;4178458.4;;;;;;;;;;;;470988.06;543168.2;629248.47;632924.04;651665.46;787025.89;308135.1;;;;4023155.22;45128.12;11867.04;25384.8;23852.88;49070.34;;;;;;155303.18;;;;;;;;;;;;1193;1258;1481;1362;1536;1758;688;;;;9276;;;;;;;;;;;;;;;;;;;;;;;1128;1242;1446;1331;1471;1758;688;;;;9064;65;16;35;31;65;;;;;;212;;;;;;;;;;;;2;;;;3;1;;;;;6;0.17;;;;0.2;0.06;;;;;0.06;2406;3285;3091;2818;3212;3655;1390;;;;19857
250690 ITABAIANA;51377.76;619902.66;707716.87;849824.29;1035082.46;882258.91;821134.88;702417.52;743770.14;786759.12;7200244.61;;;;;;;;;;;;;308667.31;320045.05;404284.43;504773.73;378701.83;397512.97;385153.95;395514.07;386887.24;3481540.58;51377.76;311235.35;387671.82;445539.86;530308.73;503557.08;423621.91;317263.57;348256.07;399871.88;3718704.03;;;;;;;;;;;;105;1390;1433;1722;2082;1795;1780;1421;1457;1516;14701;;;;;;;;;;;;;;;;;;;;;;;;714;698;881;1044;779;818;805;810;798;7347;105;676;735;841;1038;1016;962;616;647;718;7354;;;;;;;;;;;;;66;52;80;92;58;31;10;51;48;488;;4.75;3.63;4.65;4.42;3.23;1.74;0.7;3.5;3.17;3.32;142;3540;3684;4191;4627;3839;3969;3248;3791;4115;35146
250700 ITAPORANGA;75754.64;177137.19;282954.22;459397.98;545331.87;622988.78;814274.53;702338.98;688601.28;933240.88;5302020.35;;;;;;;;;;;;15923.07;64484.68;111902.91;194157.91;234704.43;252318.85;312359.39;180262.72;156557.59;242034.96;1764706.51;59831.57;112652.51;171051.31;265240.07;310627.44;370669.93;501915.14;522076.26;532043.69;691205.92;3537313.84;;;;;;;;;;;;148;370;566;928;1157;1324;1761;1502;1472;1980;11208;;;;;;;;;;;;;;;;;;;;;;;37;170;261;455;594;643;823;531;472;719;4705;111;200;305;473;563;681;938;971;1000;1261;6503;;;;;;;;;;;;;;;;;12;36;23;30;53;154;;;;;;0.91;2.04;1.53;2.04;2.68;1.37;246;595;1080;1941;2759;3197;3988;3307;3388;4700;25201
250710 ITAPOROROCA;24578.65;11389.57;11531.9;24395.95;48249.91;65717.91;52589.17;4573.71;5884.83;70677.81;319589.41;;;;;;;;;;;;;;;;;;;;;583.37;583.37;24578.65;11389.57;11531.9;24395.95;48249.91;65717.91;52589.17;4573.71;5884.83;70094.44;319006.04;;;;;;;;;;;;61;31;28;57;113;142;125;13;14;159;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;61;31;28;57;113;142;125;13;14;157;741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;55;49;60;204;276;258;24;22;237;1292
250720 ITATUBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250730 JACARAU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250740 JERICO;68589.71;66914.25;46415.8;;;;;;;;181919.76;;;;;;;;;;;;68589.71;66914.25;46415.8;;;;;;;;181919.76;;;;;;;;;;;;;;;;;;;;;;;195;197;186;;;;;;;;578;;;;;;;;;;;;;;;;;;;;;;;195;197;186;;;;;;;;578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;624;532;210;;;;;;;;1366
250750 JOAO PESSOA;107441119.1;106039614.7;107923403.4;105911798.9;116882069.9;125431185.1;134834811;121883036.4;159884461;149657416.4;1235888916;19770.07;31228.33;38092.05;27008.1;41501.37;54900.47;174634.02;51181.27;74958.67;51232.62;564506.97;48495937.01;46299158.97;46125679.91;45911283.41;50973620.47;50927535.89;54404919.39;54312325.25;84951847.22;64036270.32;546438577.8;58663168.05;59501492.99;61642779.12;59769341.86;65620247.05;73914763.26;77051239.88;64723505.46;72331832.15;81536521.65;674754891.5;262244.01;207734.43;116852.3;204165.55;246701.04;533985.5;3204017.72;2796024.38;2525823;4033391.76;14130939.69;87863;81701;80640;75421;78355;75612;79166;63903;73982;76303;772946;100;161;201;132;173;151;284;122;171;205;1700;100;161;201;132;173;151;284;122;171;205;1700;53124;47546;45960;42677;43416;40990;43641;36447;42382;39521;435704;34233;33774;34253;32533;34546;34425;35119;27224;30923;35960;332990;406;220;226;79;220;46;122;110;506;617;2552;3941;3689;3736;4041;3786;3638;4021;4124;5244;4238;40458;4.79;4.73;4.83;5.57;5.03;4.98;5.2;6.57;7.18;5.61;5.41;610720;544851;539548;508479;534869;518520;535156;420144;496911;510823;5220021
250760 JUAREZ TAVORA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250770 JUAZEIRINHO;168359.36;60705.39;14389.87;18526.76;44845.98;17578.1;;;24306.74;47827.82;396540.02;;;;;;;;;;;;168359.36;60705.39;14389.87;18526.76;44845.98;17578.1;;;24306.74;47827.82;396540.02;;;;;;;;;;;;;;;;;;;;;;;468;159;44;49;131;60;;;39;123;1073;;;;;;;;;;;;;;;;;;;;;;;468;159;44;49;131;60;;;39;123;1073;;;;;;;;;;;;;;;;;;;;;;;3;2;;2;4;1;;;5;10;27;0.64;1.26;;4.08;3.05;1.67;;;12.82;8.13;2.52;1143;383;208;135;342;170;;;112;447;2940
250780 JUNCO DO SERIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250790 JURIPIRANGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250800 JURU;116818.2;59254.02;33771.71;25817.15;3666.8;;4479.78;6688.21;4841.18;68056.77;323393.82;;;;;;;;;;;;116818.2;59254.02;33771.71;25817.15;3666.8;;4479.78;6688.21;4841.18;68056.77;323393.82;;;;;;;;;;;;;;;;;;;;;;;334;161;93;64;8;;12;14;10;155;851;;;;;;;;;;;;;;;;;;;;;;;334;161;93;64;8;;12;14;10;155;851;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;3;;;1.08;;;;;;;1.29;0.35;852;408;296;211;29;;35;31;14;440;2316
250810 LAGOA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250820 LAGOA DE DENTRO;17859.66;;;;;;;;;;17859.66;;;;;;;;;;;;17859.66;;;;;;;;;;17859.66;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;;;;;;;;;;105
250830 LAGOA SECA;78318.66;57445.43;32079.66;13597.1;79462.7;79612.19;79518.18;103571.13;179131.45;108980.51;811717.01;;;;;;;;;;;;78318.66;57445.43;32079.66;13597.1;79462.7;79612.19;79518.18;103571.13;179131.45;108761.39;811497.89;;;;;;;;;;219.12;219.12;;;;;;;;;;;;230;201;114;48;246;230;219;214;331;271;2104;;;;;;;;;;;;;;;;;;;;;;;230;201;114;48;246;230;219;214;331;270;2103;;;;;;;;;;1;1;;;;;;;;;;;;3;3;;;9;8;18;13;22;29;105;1.3;1.49;;;3.66;3.48;8.22;6.07;6.65;10.7;4.99;1013;757;340;141;948;806;856;765;1129;1331;8086
